Macierz rankingowa

odbior=0; 0(0.849301); 
odbior=1; 0(0.613058); 
odbior=2; 0(0.816020); 
odbior=3; 0(0.581378); 
odbior=4; 0(0.510882); 
odbior=5; 0(0.788000); 
odbior=6; 0(0.440654); 
odbior=7; 0(0.522594); 
odbior=8; 0(0.264008); 
odbior=9; 0(0.879873); 
odbior=10; 0(0.704182); 
odbior=11; 0(0.377465); 
odbior=12; 0(0.899858); 
odbior=13; 0(0.335809); 
odbior=14; 0(0.916899); 
odbior=15; 0(0.619587); 
odbior=16; 0(0.690101); 
odbior=17; 0(0.659321); 
odbior=18; 0(0.692878); 
odbior=19; 0(0.689406); 
odbior=20; 0(1.048282); 
odbior=21; 0(1.035220); 
odbior=22; 0(0.959041); 
odbior=23; 0(0.695874); 
odbior=24; 0(1.138813); 
odbior=25; 0(1.051635); 
odbior=26; 0(1.296056); 
odbior=27; 0(1.306850); 
odbior=28; 0(1.088360); 
odbior=29; 0(1.169650); 
odbior=30; 0(0.838713); 
odbior=31; 0(1.305079); 
odbior=32; 0(1.010228); 
odbior=33; 0(1.171310); 
odbior=34; 0(1.269419); 
odbior=35; 0(0.789582); 
odbior=36; 0(0.594831); 
odbior=37; 0(0.480816); 
odbior=38; 0(0.283196); 
odbior=39; 0(0.957413); 
odbior=0; 0(0.000000); 9(0.264008); 39(0.283196); 14(0.335809); 12(0.377465); 7(0.440654); 38(0.480816); 5(0.510882); 8(0.522594); 4(0.581378); 37(0.594831); 2(0.613058); 16(0.619587); 18(0.659321); 20(0.689406); 17(0.690101); 19(0.692878); 24(0.695874); 11(0.704182); 6(0.788000); 36(0.789582); 3(0.816020); 31(0.838713); 1(0.849301); 10(0.879873); 13(0.899858); 15(0.916899); 40(0.957413); 23(0.959041); 33(1.010228); 22(1.035220); 21(1.048282); 26(1.051635); 29(1.088360); 25(1.138813); 30(1.169650); 34(1.171310); 35(1.269419); 27(1.296056); 32(1.305079); 28(1.306850); 
odbior=1; 1(0.000000); 3(0.240666); 33(0.248290); 25(0.316632); 2(0.328877); 5(0.352919); 4(0.372430); 36(0.392020); 29(0.432019); 6(0.558813); 39(0.583020); 7(0.638824); 26(0.678127); 38(0.696930); 20(0.722451); 0(0.849301); 9(0.858587); 15(0.895232); 16(0.914637); 8(0.972132); 34(0.979878); 14(1.010489); 23(1.137583); 31(1.218346); 12(1.223719); 17(1.230837); 27(1.253533); 19(1.365407); 24(1.413608); 37(1.425550); 10(1.464350); 18(1.468741); 11(1.490761); 40(1.744110); 13(1.747945); 21(1.782766); 32(1.845288); 22(1.872214); 35(1.904151); 30(1.987614); 28(2.156148); 
odbior=2; 2(0.000000); 5(0.138130); 36(0.208346); 1(0.328877); 39(0.330151); 38(0.368196); 4(0.404317); 33(0.407156); 20(0.415095); 3(0.468188); 9(0.554995); 7(0.588666); 0(0.613058); 25(0.644012); 8(0.644050); 6(0.695598); 29(0.731694); 14(0.859414); 31(0.893577); 26(0.896723); 16(0.897508); 12(0.987320); 15(1.001135); 19(1.044337); 10(1.136028); 37(1.145677); 17(1.150951); 34(1.157832); 11(1.189245); 23(1.190556); 24(1.265575); 18(1.268984); 27(1.395564); 21(1.464748); 13(1.484862); 32(1.517229); 40(1.562193); 35(1.576000); 22(1.646767); 30(1.691981); 28(1.898433); 
odbior=3; 3(0.000000); 1(0.240666); 4(0.241495); 29(0.285012); 6(0.324099); 25(0.356382); 5(0.415124); 26(0.446013); 2(0.468188); 33(0.482808); 7(0.492666); 39(0.598003); 36(0.599747); 15(0.660109); 16(0.724707); 34(0.740616); 38(0.805868); 0(0.816020); 20(0.883239); 14(0.896803); 9(0.898436); 23(0.912465); 27(1.012885); 17(1.061780); 8(1.065270); 12(1.168637); 24(1.281356); 31(1.346028); 18(1.373492); 37(1.410589); 19(1.421824); 11(1.504819); 10(1.550639); 40(1.628722); 13(1.706200); 22(1.790580); 21(1.824741); 32(1.952926); 30(1.984488); 35(1.984581); 28(2.102589); 
odbior=4; 4(0.000000); 3(0.241495); 7(0.268477); 5(0.290172); 6(0.299867); 1(0.372430); 39(0.396434); 2(0.404317); 29(0.507007); 26(0.535373); 16(0.546260); 0(0.581378); 25(0.590444); 36(0.595046); 15(0.597234); 33(0.610442); 14(0.660775); 38(0.661296); 9(0.695428); 34(0.762742); 20(0.787299); 23(0.801299); 17(0.858650); 8(0.893944); 12(0.927741); 27(0.991548); 24(1.054013); 18(1.134591); 37(1.175925); 31(1.196689); 19(1.217381); 11(1.279031); 10(1.363718); 40(1.395450); 13(1.465824); 22(1.550190); 21(1.608975); 30(1.750995); 32(1.777481); 35(1.789413); 28(1.861182); 
odbior=5; 5(0.000000); 2(0.138130); 39(0.233238); 4(0.290172); 36(0.346468); 1(0.352919); 38(0.391847); 3(0.415124); 7(0.451283); 20(0.497875); 33(0.500759); 9(0.508035); 0(0.510882); 6(0.589461); 8(0.651110); 25(0.663669); 29(0.696626); 14(0.730813); 16(0.760216); 26(0.811601); 15(0.879423); 12(0.888347); 31(0.932802); 17(1.014318); 19(1.023035); 34(1.052772); 23(1.058093); 37(1.074404); 11(1.138170); 24(1.138648); 10(1.139393); 18(1.156176); 27(1.278014); 13(1.402378); 21(1.436097); 40(1.444728); 32(1.538178); 22(1.545070); 35(1.576053); 30(1.634735); 28(1.813322); 
odbior=6; 6(0.000000); 26(0.263697); 4(0.299867); 3(0.324099); 15(0.336595); 7(0.356090); 29(0.418645); 16(0.458345); 34(0.463534); 1(0.558813); 5(0.589461); 23(0.591486); 25(0.631962); 39(0.672149); 2(0.695598); 27(0.707129); 14(0.740216); 0(0.788000); 33(0.805203); 17(0.809424); 36(0.871394); 38(0.957062); 9(0.957081); 24(1.073149); 12(1.076126); 20(1.087058); 8(1.176422); 18(1.213708); 37(1.360147); 40(1.433055); 19(1.466479); 31(1.486731); 11(1.489510); 13(1.608229); 10(1.629768); 22(1.636372); 21(1.836257); 30(1.931250); 28(1.979252); 35(2.044016); 32(2.049956); 
odbior=7; 7(0.000000); 4(0.268477); 16(0.308934); 6(0.356090); 39(0.404544); 14(0.408862); 0(0.440654); 5(0.451283); 3(0.492666); 15(0.498959); 2(0.588666); 17(0.592986); 26(0.617051); 23(0.620310); 1(0.638824); 9(0.644016); 29(0.717473); 38(0.718899); 12(0.722717); 34(0.737433); 24(0.789177); 36(0.796161); 25(0.848830); 33(0.869878); 8(0.887685); 18(0.888585); 20(0.892896); 27(0.896830); 37(1.004072); 19(1.130642); 11(1.136169); 40(1.136465); 31(1.208933); 13(1.258348); 10(1.307713); 22(1.309681); 21(1.486607); 30(1.575436); 28(1.638658); 35(1.708379); 32(1.732236); 
odbior=8; 8(0.000000); 9(0.259700); 38(0.276724); 31(0.322639); 20(0.370470); 19(0.422412); 10(0.492260); 39(0.504325); 0(0.522594); 11(0.636453); 2(0.644050); 5(0.651110); 37(0.678740); 36(0.690646); 12(0.705135); 21(0.843175); 14(0.850496); 7(0.887685); 32(0.887937); 4(0.893944); 35(0.932034); 1(0.972132); 33(1.010980); 18(1.024890); 13(1.032031); 3(1.065270); 16(1.128255); 30(1.130423); 24(1.150276); 6(1.176422); 17(1.205600); 22(1.284324); 25(1.288006); 40(1.319861); 29(1.347733); 15(1.386639); 26(1.427725); 28(1.432838); 23(1.469302); 34(1.615866); 27(1.782484); 
odbior=9; 9(0.000000); 8(0.259700); 0(0.264008); 38(0.276847); 39(0.301496); 20(0.473730); 5(0.508035); 12(0.515694); 19(0.523851); 2(0.554995); 31(0.579741); 14(0.596446); 37(0.599403); 11(0.634832); 7(0.644016); 10(0.672753); 36(0.677067); 4(0.695428); 18(0.834652); 1(0.858587); 16(0.870395); 3(0.898436); 24(0.924175); 21(0.929449); 13(0.949318); 17(0.951851); 6(0.957081); 33(0.959177); 32(1.093605); 35(1.094022); 40(1.136671); 30(1.136987); 15(1.140808); 22(1.152779); 25(1.171613); 29(1.183143); 23(1.211487); 26(1.216271); 28(1.363245); 34(1.379880); 27(1.532247); 
odbior=10; 10(0.000000); 19(0.220291); 31(0.349834); 32(0.425319); 21(0.432980); 35(0.440073); 11(0.461407); 8(0.492260); 37(0.628700); 9(0.672753); 38(0.768010); 30(0.810225); 20(0.812158); 12(0.850120); 0(0.879873); 13(0.890025); 39(0.967293); 18(1.107682); 2(1.136028); 5(1.139393); 14(1.142699); 36(1.165291); 22(1.204007); 28(1.215612); 7(1.307713); 24(1.311543); 40(1.351053); 4(1.363718); 1(1.464350); 17(1.469961); 33(1.491721); 16(1.492836); 3(1.550639); 6(1.629768); 25(1.780040); 15(1.795933); 23(1.826319); 29(1.834745); 26(1.888868); 34(2.045006); 27(2.174900); 
